순번,침수 원인(FLUD_CAUSE),침수 지구 명(F_DSTRC_NM),침수 재해 명(F_DSSTR_NM),침수 원인 상세(F_CUE_DTL),행정구역 코드(ADM_CD),침수위(FLUD_WAL),Latitude,Longitude
39074,1,봉양읍 연박지구,2020년 8월 집중호우,집중호우에 의한 하천범람,충청북도 제천시 봉양읍 연박리,232,37.1316747,128.1045159
39091,1,봉양읍 구곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 구곡리,190.9,37.0898712,128.0986004
39092,1,봉양읍 구곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 구곡리,194.6,37.0898712,128.0986004
39111,1,봉양읍 구곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 구곡리,221.8,37.0898712,128.0986004
39115,1,봉양읍 구곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 구곡리,229.9,37.0898712,128.0986004
39118,1,봉양읍 구곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 봉양읍 구곡리,241.1,37.0898712,128.0986004
39127,1,금성면 포전지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 금성면 포전리,186,37.0543212,128.209322
39144,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,260,37.0989999,128.1945931
39146,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,259.9,37.0989999,128.1945931
39152,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,251.6,37.0989999,128.1945931
39162,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,257.9,37.0989999,128.1945931
39171,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,264.9,37.0989999,128.1945931
39180,1,산곡지구,2020년 8월 집중호우,집중호우에 의한 하천 범람,충청북도 제천시 산곡동,274.2,37.0989999,128.1945931
